xba,xslg,xobp,xslgdiff
0.253,0.433,0.317,-0.003
0.272,0.443,0.34,-0.045
0.266,0.48,0.373,-0.025
0.258,0.434,0.313,-0.02
0.294,0.643,0.382,-0.003
0.276,0.504,0.345,-0.067
0.254,0.43,0.361,-0.021
0.241,0.418,0.329,0.023
0.301,0.532,0.354,0.044
0.292,0.422,0.355,-0.05
0.29,0.524,0.375,-0.015
0.261,0.451,0.36,-0.04
0.241,0.375,0.32,0.128
0.271,0.482,0.331,0.023
0.262,0.437,0.344,-0.041
0.275,0.407,0.318,-0.014
0.264,0.405,0.331,0.011
0.271,0.491,0.388,0.024
0.244,0.465,0.351,-0.062
0.301,0.485,0.366,0.018
0.283,0.421,0.332,0.12
0.275,0.379,0.326,0
0.259,0.473,0.315,0.038
0.236,0.446,0.311,-0.059
0.282,0.473,0.377,-0.023
0.306,0.578,0.388,-0.021
0.276,0.4,0.325,0.009
0.261,0.517,0.348,-0.041
0.277,0.499,0.337,0.051
0.269,0.383,0.324,0.025
0.275,0.408,0.319,0.012
0.269,0.439,0.302,-0.003
0.303,0.516,0.352,-0.013
0.269,0.539,0.388,-0.018
0.297,0.581,0.391,-0.032
0.243,0.482,0.38,-0.014
0.261,0.407,0.352,0.022
0.319,0.533,0.37,-0.015
0.263,0.509,0.338,0.007
0.301,0.498,0.415,0.022
0.24,0.394,0.277,0.045
0.278,0.502,0.33,-0.038
0.291,0.548,0.373,-0.076
0.247,0.414,0.317,0.039
0.276,0.502,0.319,0.032
0.244,0.408,0.32,-0.058
0.255,0.417,0.303,0.008
0.259,0.425,0.321,-0.015
0.315,0.6,0.412,-0.002
0.275,0.503,0.362,0.019
0.288,0.582,0.383,0.009
0.253,0.447,0.302,0.03
0.25,0.365,0.334,0.058
0.247,0.359,0.281,0.019
0.241,0.437,0.29,0.021
0.311,0.676,0.457,-0.031
0.277,0.551,0.388,-0.041
0.282,0.522,0.335,-0.019
0.251,0.509,0.344,0.063
0.254,0.49,0.332,-0.049
0.234,0.323,0.303,-0.002
0.274,0.489,0.345,0.094
0.272,0.527,0.393,-0.012
0.249,0.496,0.368,-0.032
0.266,0.522,0.355,-0.046
0.271,0.376,0.304,0.031
0.251,0.469,0.356,0.052
0.285,0.552,0.335,-0.027
0.267,0.474,0.346,-0.012
0.263,0.446,0.31,-0.017
0.252,0.481,0.342,0.057
0.281,0.48,0.339,0.013
0.268,0.506,0.296,-0.006
0.315,0.629,0.419,0.043
0.286,0.442,0.335,0.021
0.278,0.484,0.359,0.071
0.283,0.401,0.309,0.021
0.277,0.478,0.343,0.007
0.245,0.479,0.338,-0.012
0.263,0.417,0.353,0.011
0.256,0.438,0.337,-0.028
0.269,0.51,0.305,0.021
0.276,0.467,0.33,0.051
0.223,0.471,0.301,-0.032
0.265,0.471,0.338,0.083
0.229,0.447,0.36,-0.008
0.264,0.465,0.347,0.054
0.234,0.431,0.328,-0.01
0.256,0.474,0.322,-0.014
0.261,0.432,0.327,0.005
0.258,0.461,0.341,0.007
0.288,0.565,0.378,0.004
0.313,0.58,0.41,-0.056
0.215,0.3,0.29,0.035
0.23,0.369,0.293,-0.019
0.305,0.531,0.368,0.061
0.283,0.462,0.341,0.036
0.266,0.416,0.296,0.016
0.272,0.467,0.345,0.012
0.272,0.465,0.409,0.127
0.261,0.468,0.325,0.015
0.265,0.543,0.329,-0.031
0.275,0.49,0.35,-0.068
0.282,0.387,0.329,0.059
0.283,0.59,0.367,-0.045
0.258,0.545,0.358,0.038
0.266,0.513,0.373,-0.019
0.279,0.408,0.338,0.009
0.262,0.461,0.324,-0.003
0.278,0.596,0.366,-0.027
0.286,0.553,0.359,0.005
0.296,0.471,0.32,0.037
0.324,0.647,0.425,-0.018
0.265,0.48,0.336,0.042
0.279,0.51,0.355,0.025
0.248,0.437,0.329,0.013
0.294,0.435,0.331,-0.003
0.254,0.446,0.317,-0.028
0.269,0.47,0.346,-0.039
0.291,0.478,0.362,0.053
0.292,0.497,0.35,0.003
0.234,0.379,0.31,0.04
0.302,0.533,0.355,0.022
0.27,0.526,0.319,-0.013
0.262,0.501,0.324,0.034
0.255,0.507,0.349,-0.001
0.221,0.429,0.362,0.025
0.267,0.558,0.357,-0.027
0.239,0.448,0.326,-0.004
0.285,0.523,0.341,0.025
0.282,0.578,0.368,-0.06
0.297,0.377,0.357,0.007
0.261,0.435,0.33,-0.002
0.288,0.584,0.407,-0.036
0.3,0.487,0.367,0.016